efficientnet_b0 run finished, launching mobilenetv2_100...
Loading existing FP32 corruption-sweep results for mobilenetv2_100 (not re-running -- deterministic, already on disk)
Knee sparsity for mobilenetv2_100: 0.2
  [int8] color_shift_warm_sev5        acc=0.4980 f1=0.0000 ece=0.2286
  [int8] sweep done in 128.2s

=== Variant: pruned30_plus_int8 ===
  [pruned30+int8] clean                        acc=0.4980 f1=0.0000 ece=0.2479
  [pruned30+int8] gaussian_blur_sev1           acc=0.4980 f1=0.0000 ece=0.2477
  [pruned30+int8] gaussian_blur_sev2           acc=0.4980 f1=0.0000 ece=0.2473
  [pruned30+int8] gaussian_blur_sev3           acc=0.4980 f1=0.0000 ece=0.2470
  [pruned30+int8] gaussian_blur_sev4           acc=0.4980 f1=0.0000 ece=0.2468
  [pruned30+int8] gaussian_blur_sev5           acc=0.4980 f1=0.0000 ece=0.2464
  [pruned30+int8] brightness_down_sev1         acc=0.4980 f1=0.0000 ece=0.2476
  [pruned30+int8] brightness_down_sev2         acc=0.4980 f1=0.0000 ece=0.2477
  [pruned30+int8] brightness_down_sev3         acc=0.4980 f1=0.0000 ece=0.2481
  [pruned30+int8] brightness_down_sev4         acc=0.4980 f1=0.0000 ece=0.2477
  [pruned30+int8] brightness_down_sev5         acc=0.4980 f1=0.0000 ece=0.2470
  [pruned30+int8] brightness_up_sev1           acc=0.4980 f1=0.0000 ece=0.2478
  [pruned30+int8] brightness_up_sev2           acc=0.4980 f1=0.0000 ece=0.2482
  [pruned30+int8] brightness_up_sev3           acc=0.4980 f1=0.0000 ece=0.2484
  [pruned30+int8] brightness_up_sev4           acc=0.4980 f1=0.0000 ece=0.2488
  [pruned30+int8] brightness_up_sev5           acc=0.4980 f1=0.0000 ece=0.2490
  [pruned30+int8] contrast_down_sev1           acc=0.4980 f1=0.0000 ece=0.2490
  [pruned30+int8] contrast_down_sev2           acc=0.4980 f1=0.0000 ece=0.2474
  [pruned30+int8] contrast_down_sev3           acc=0.4980 f1=0.0000 ece=0.2478
  [pruned30+int8] contrast_down_sev4           acc=0.4980 f1=0.0000 ece=0.2475
  [pruned30+int8] contrast_down_sev5           acc=0.4980 f1=0.0000 ece=0.2470
  [pruned30+int8] gaussian_noise_sev1          acc=0.4980 f1=0.0000 ece=0.2478
  [pruned30+int8] gaussian_noise_sev2          acc=0.4980 f1=0.0000 ece=0.2480
  [pruned30+int8] gaussian_noise_sev3          acc=0.4980 f1=0.0000 ece=0.2488
  [pruned30+int8] gaussian_noise_sev4          acc=0.4980 f1=0.0000 ece=0.2481
  [pruned30+int8] gaussian_noise_sev5          acc=0.4980 f1=0.0000 ece=0.2488
  [pruned30+int8] jpeg_compression_sev1        acc=0.4980 f1=0.0000 ece=0.2491
  [pruned30+int8] jpeg_compression_sev2        acc=0.4980 f1=0.0000 ece=0.2475
  [pruned30+int8] jpeg_compression_sev3        acc=0.4980 f1=0.0000 ece=0.2480
  [pruned30+int8] jpeg_compression_sev4        acc=0.4980 f1=0.0000 ece=0.2473
  [pruned30+int8] jpeg_compression_sev5        acc=0.4980 f1=0.0000 ece=0.2477
  [pruned30+int8] color_shift_warm_sev1        acc=0.4980 f1=0.0000 ece=0.2476
  [pruned30+int8] color_shift_warm_sev2        acc=0.4980 f1=0.0000 ece=0.2471
  [pruned30+int8] color_shift_warm_sev3        acc=0.4980 f1=0.0000 ece=0.2464
  [pruned30+int8] color_shift_warm_sev4        acc=0.4980 f1=0.0000 ece=0.2458
  [pruned30+int8] color_shift_warm_sev5        acc=0.4980 f1=0.0000 ece=0.2461
  [pruned30+int8] sweep done in 131.6s

Saved to /Users/tishy/Documents/Honors/results/robustness_under_compression_mobilenetv2_100.json

Accuracy drop (severity 1 -> 5) per corruption type, per variant:
variant                clean  gaussian_b  brightness  brightness  contrast_d  gaussian_n  jpeg_compr  color_shif
fp32                   0.788      +0.270      +0.026      +0.099      +0.040      +0.119      +0.266      +0.060
pruned_at_knee         0.736      +0.208      +0.042      +0.085      +0.036      +0.129      +0.208      +0.067
static_int8            0.498      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000
pruned30_plus_int8     0.498      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000
Saved /Users/tishy/Documents/Honors/docs/robustness_under_compression_mobilenetv2_100_gaussian_blur_2026-09-19.png
Saved /Users/tishy/Documents/Honors/docs/robustness_under_compression_mobilenetv2_100_jpeg_compression_2026-09-19.png

Done. This never opened manifest_curated_v3_test.csv.
