Loading existing FP32 corruption-sweep results for efficientnet_b0 (not re-running -- deterministic, already on disk)
Knee sparsity for efficientnet_b0: 0.5
=== Variant: pruned30_plus_int8 ===
  [pruned30+int8] clean                        acc=0.4960 f1=0.0741 ece=0.2854
  [pruned30+int8] gaussian_blur_sev1           acc=0.4960 f1=0.0530 ece=0.2950
  [pruned30+int8] gaussian_blur_sev2           acc=0.5000 f1=0.0462 ece=0.3141
  [pruned30+int8] gaussian_blur_sev3           acc=0.5020 f1=0.0389 ece=0.3312
  [pruned30+int8] gaussian_blur_sev4           acc=0.5040 f1=0.0238 ece=0.3471
  [pruned30+int8] gaussian_blur_sev5           acc=0.4980 f1=0.0000 ece=0.3474
  [pruned30+int8] brightness_down_sev1         acc=0.4919 f1=0.0526 ece=0.3118
  [pruned30+int8] brightness_down_sev2         acc=0.4919 f1=0.0156 ece=0.3322
  [pruned30+int8] brightness_down_sev3         acc=0.4980 f1=0.0158 ece=0.3382
  [pruned30+int8] brightness_down_sev4         acc=0.4980 f1=0.0000 ece=0.3428
  [pruned30+int8] brightness_down_sev5         acc=0.4980 f1=0.0000 ece=0.3491
  [pruned30+int8] brightness_up_sev1           acc=0.5000 f1=0.0949 ece=0.2737
  [pruned30+int8] brightness_up_sev2           acc=0.4960 f1=0.0809 ece=0.2617
  [pruned30+int8] brightness_up_sev3           acc=0.4839 f1=0.0588 ece=0.2615
  [pruned30+int8] brightness_up_sev4           acc=0.5121 f1=0.1037 ece=0.2358
  [pruned30+int8] brightness_up_sev5           acc=0.5121 f1=0.0902 ece=0.2378
  [pruned30+int8] contrast_down_sev1           acc=0.4940 f1=0.0528 ece=0.3054
  [pruned30+int8] contrast_down_sev2           acc=0.5000 f1=0.0312 ece=0.3265
  [pruned30+int8] contrast_down_sev3           acc=0.4980 f1=0.0158 ece=0.3617
  [pruned30+int8] contrast_down_sev4           acc=0.4980 f1=0.0000 ece=0.3712
  [pruned30+int8] contrast_down_sev5           acc=0.4980 f1=0.0000 ece=0.3645
  [pruned30+int8] gaussian_noise_sev1          acc=0.5000 f1=0.0882 ece=0.2839
  [pruned30+int8] gaussian_noise_sev2          acc=0.4940 f1=0.0806 ece=0.2758
  [pruned30+int8] gaussian_noise_sev3          acc=0.5161 f1=0.1111 ece=0.2768
  [pruned30+int8] gaussian_noise_sev4          acc=0.5202 f1=0.1119 ece=0.2470
  [pruned30+int8] gaussian_noise_sev5          acc=0.5161 f1=0.1241 ece=0.2198
  [pruned30+int8] jpeg_compression_sev1        acc=0.4940 f1=0.0528 ece=0.2946
  [pruned30+int8] jpeg_compression_sev2        acc=0.4919 f1=0.0455 ece=0.2980
  [pruned30+int8] jpeg_compression_sev3        acc=0.4960 f1=0.0385 ece=0.3108
  [pruned30+int8] jpeg_compression_sev4        acc=0.4980 f1=0.0386 ece=0.3218
  [pruned30+int8] jpeg_compression_sev5        acc=0.5000 f1=0.0080 ece=0.3905
  [pruned30+int8] color_shift_warm_sev1        acc=0.4919 f1=0.0935 ece=0.2683
  [pruned30+int8] color_shift_warm_sev2        acc=0.4980 f1=0.1011 ece=0.2586
  [pruned30+int8] color_shift_warm_sev3        acc=0.4819 f1=0.1168 ece=0.2521
  [pruned30+int8] color_shift_warm_sev4        acc=0.5020 f1=0.1453 ece=0.2487
  [pruned30+int8] color_shift_warm_sev5        acc=0.5000 f1=0.1329 ece=0.2569
  [pruned30+int8] sweep done in 196.8s

Saved to /Users/tishy/Documents/Honors/results/robustness_under_compression_efficientnet_b0.json

Accuracy drop (severity 1 -> 5) per corruption type, per variant:
variant                clean  gaussian_b  brightness  brightness  contrast_d  gaussian_n  jpeg_compr  color_shif
fp32                   0.806      +0.254      +0.133      +0.065      +0.139      +0.077      +0.288      +0.069
pruned_at_knee         0.639      +0.111      +0.117      +0.044      +0.103      +0.022      +0.141      +0.079
static_int8            0.486      -0.020      -0.012      -0.024      -0.012      -0.012      -0.022      +0.000
pruned30_plus_int8     0.496      -0.002      -0.006      -0.012      -0.004      -0.016      -0.006      -0.008
Saved /Users/tishy/Documents/Honors/docs/robustness_under_compression_efficientnet_b0_gaussian_blur_2026-09-19.png
Saved /Users/tishy/Documents/Honors/docs/robustness_under_compression_efficientnet_b0_jpeg_compression_2026-09-19.png

Done. This never opened manifest_curated_v3_test.csv.
