Loading existing FP32 corruption-sweep results for shufflenet_v2_x1_0 (not re-running -- deterministic, already on disk)
Knee sparsity for shufflenet_v2_x1_0: 0.5
  [int8] sweep done in 101.8s

=== Variant: pruned30_plus_int8 ===
  [pruned30+int8] clean                        acc=0.7601 f1=0.7750 ece=0.0692
  [pruned30+int8] gaussian_blur_sev1           acc=0.7500 f1=0.7520 ece=0.0572
  [pruned30+int8] gaussian_blur_sev2           acc=0.7298 f1=0.6912 ece=0.0418
  [pruned30+int8] gaussian_blur_sev3           acc=0.6694 f1=0.5615 ece=0.0927
  [pruned30+int8] gaussian_blur_sev4           acc=0.5968 f1=0.3671 ece=0.1970
  [pruned30+int8] gaussian_blur_sev5           acc=0.5242 f1=0.1128 ece=0.2913
  [pruned30+int8] brightness_down_sev1         acc=0.7500 f1=0.7643 ece=0.0502
  [pruned30+int8] brightness_down_sev2         acc=0.7540 f1=0.7707 ece=0.0716
  [pruned30+int8] brightness_down_sev3         acc=0.7440 f1=0.7562 ece=0.0505
  [pruned30+int8] brightness_down_sev4         acc=0.7399 f1=0.7456 ece=0.0518
  [pruned30+int8] brightness_down_sev5         acc=0.6935 f1=0.6652 ece=0.0494
  [pruned30+int8] brightness_up_sev1           acc=0.7560 f1=0.7669 ece=0.0656
  [pruned30+int8] brightness_up_sev2           acc=0.7520 f1=0.7583 ece=0.0564
  [pruned30+int8] brightness_up_sev3           acc=0.7480 f1=0.7401 ece=0.0863
  [pruned30+int8] brightness_up_sev4           acc=0.7137 f1=0.6682 ece=0.0593
  [pruned30+int8] brightness_up_sev5           acc=0.6694 f1=0.5729 ece=0.1144
  [pruned30+int8] contrast_down_sev1           acc=0.7661 f1=0.7752 ece=0.0486
  [pruned30+int8] contrast_down_sev2           acc=0.7742 f1=0.7760 ece=0.0655
  [pruned30+int8] contrast_down_sev3           acc=0.7520 f1=0.7411 ece=0.0585
  [pruned30+int8] contrast_down_sev4           acc=0.6976 f1=0.6377 ece=0.0615
  [pruned30+int8] contrast_down_sev5           acc=0.6149 f1=0.4264 ece=0.1276
  [pruned30+int8] gaussian_noise_sev1          acc=0.7419 f1=0.7673 ece=0.0672
  [pruned30+int8] gaussian_noise_sev2          acc=0.7198 f1=0.7591 ece=0.0533
  [pruned30+int8] gaussian_noise_sev3          acc=0.6673 f1=0.7352 ece=0.0919
  [pruned30+int8] gaussian_noise_sev4          acc=0.6210 f1=0.7152 ece=0.1254
  [pruned30+int8] gaussian_noise_sev5          acc=0.6250 f1=0.7165 ece=0.1231
  [pruned30+int8] jpeg_compression_sev1        acc=0.7621 f1=0.7695 ece=0.0528
  [pruned30+int8] jpeg_compression_sev2        acc=0.7621 f1=0.7552 ece=0.0627
  [pruned30+int8] jpeg_compression_sev3        acc=0.7560 f1=0.7329 ece=0.0634
  [pruned30+int8] jpeg_compression_sev4        acc=0.7056 f1=0.6368 ece=0.0611
  [pruned30+int8] jpeg_compression_sev5        acc=0.5302 f1=0.1708 ece=0.2249
  [pruned30+int8] color_shift_warm_sev1        acc=0.7581 f1=0.7701 ece=0.0549
  [pruned30+int8] color_shift_warm_sev2        acc=0.7520 f1=0.7692 ece=0.0646
  [pruned30+int8] color_shift_warm_sev3        acc=0.7419 f1=0.7576 ece=0.0707
  [pruned30+int8] color_shift_warm_sev4        acc=0.7218 f1=0.7366 ece=0.0528
  [pruned30+int8] color_shift_warm_sev5        acc=0.7097 f1=0.7143 ece=0.0547
  [pruned30+int8] sweep done in 104.8s

Saved to /Users/tishy/Documents/Honors/results/robustness_under_compression_shufflenet_v2_x1_0.json

Accuracy drop (severity 1 -> 5) per corruption type, per variant:
variant                clean  gaussian_b  brightness  brightness  contrast_d  gaussian_n  jpeg_compr  color_shif
fp32                   0.792      +0.236      +0.022      +0.107      +0.137      +0.014      +0.240      +0.052
pruned_at_knee         0.694      +0.169      +0.079      +0.129      +0.177      +0.034      +0.161      +0.069
static_int8            0.754      +0.196      +0.036      +0.069      +0.101      +0.095      +0.198      +0.024
pruned30_plus_int8     0.760      +0.226      +0.056      +0.087      +0.151      +0.117      +0.232      +0.048
Saved /Users/tishy/Documents/Honors/docs/robustness_under_compression_shufflenet_v2_x1_0_gaussian_blur_2026-09-19.png
Saved /Users/tishy/Documents/Honors/docs/robustness_under_compression_shufflenet_v2_x1_0_jpeg_compression_2026-09-19.png

Done. This never opened manifest_curated_v3_test.csv.
